,Puesto,Colegio,Calendario,Evaluados,Promedio_Total,Matematica,DE_Matematica,Quimica,DE_Quimica,Fisica,DE_Fisica,Biologia,DE_Biologia,Filosofia,DE_Filosofia,Ingles,DE_Ingles,Lenguaje,DE_Lenguaje,Sociales,DE_Sociales,Municipio,Departamento,Jornada,Oficial
1,2,COL. BILINGÜE DIANA OESE,B,12,69.4,79.3,10.0,65.4,10.2,74.7,15.9,61.0,6.7,61.7,7.2,89.7,7.3,62.9,4.6,60.3,5.7,CALI,VALLE,COMPLETA U ORDINARIA,NO
2,3,GIMNASIO VERMONT,B,82,68.9,78.3,12.8,62.0,5.9,68.8,10.3,62.4,7.7,65.1,9.7,89.8,6.8,64.0,6.1,60.7,5.7,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
3,4,SAN JORGE DE INGLATERRA,B,66,68.5,75.8,11.0,61.8,5.4,74.4,11.6,60.4,7.1,62.5,10.5,90.1,6.4,63.7,4.7,59.3,5.3,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
4,5,LOS NOGALES,B,50,68.2,77.8,12.0,62.6,7.8,71.3,10.4,61.3,8.4,60.3,10.3,90.7,6.6,62.3,6.4,59.4,5.5,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
5,6,INST. ED. CAMBRIDGE SCHOOL,A,18,67.6,81.8,17.6,62.2,5.8,67.0,7.8,67.6,6.9,57.4,8.4,78.9,9.8,63.8,8.4,61.9,6.7,PAMPLONA,NORTE SANTANDER,COMPLETA U ORDINARIA,NO
6,7,COL.INT.ED. INTEGRAL CIEDI,B,33,67.5,74.5,10.1,61.2,6.2,70.9,6.9,61.0,8.3,62.6,11.7,87.6,7.8,63.5,6.0,58.8,6.4,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
7,8,NUEVO CAMBRIGDE,B,39,67.5,76.5,16.6,63.6,8.2,69.6,10.7,63.9,8.6,59.2,11.7,84.6,9.4,62.9,6.8,59.7,6.3,FLORIDABLANCA,SANTANDER,COMPLETA U ORDINARIA,NO
8,9,HISPANOAMERICANO,B,76,67.4,78.0,13.3,64.0,6.7,75.0,11.3,60.7,6.8,60.6,9.8,76.3,12.1,63.8,5.5,60.7,6.5,CALI,VALLE,MAÑANA,NO
9,10,LA COLINA,B,9,67.2,68.3,11.1,60.8,4.8,68.0,9.2,60.3,6.9,64.3,8.4,85.9,10.6,67.4,7.1,62.3,5.9,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
10,11,CALATRAVA,B,8,67.1,82.6,11.0,58.0,3.0,74.9,13.3,61.8,8.1,62.4,6.0,77.6,9.8,59.9,6.7,59.8,4.1,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
11,12,LICEO CAMPO DAVID,A,19,67.1,83.2,9.9,63.5,5.0,66.1,7.0,66.9,9.7,53.5,8.4,80.0,9.0,61.4,4.4,61.9,8.3,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
12,13,SANTA FRANCISCA ROMANA,B,59,67.0,72.8,10.9,63.2,7.1,66.5,7.3,60.7,6.9,61.7,7.8,86.2,7.2,64.8,4.9,59.9,6.6,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
13,14,SAN MATEO APOSTOL,B,61,66.9,77.4,14.3,60.7,7.3,67.6,11.6,57.6,7.3,62.3,10.4,86.5,7.1,63.6,5.9,59.5,5.4,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
14,15,GIMNASIO ALESSANDRO VOLTA,B,12,66.7,74.3,16.2,62.7,4.4,72.9,12.3,58.5,7.0,60.2,4.7,80.2,9.9,65.7,4.0,59.3,4.8,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
15,16,GIMNASIO COLOMBO BRITANICO,A,50,66.6,78.8,12.1,64.9,5.9,64.0,7.9,63.5,6.5,54.4,8.2,83.4,6.0,62.2,5.4,61.5,7.9,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
16,17,SAN CARLOS,B,119,66.5,73.2,10.8,58.2,6.1,67.3,10.0,59.7,7.5,61.3,9.3,89.2,7.4,62.3,5.7,60.6,5.5,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
17,18,INSTITUTO ALBERTO MERANI,A,29,66.4,70.1,11.5,64.5,6.1,63.0,6.3,66.4,7.1,56.9,6.5,80.8,10.2,62.1,5.5,67.7,8.2,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
18,19,GIMNASIO LA MONTAÑA,B,50,66.4,72.1,9.8,60.2,6.7,70.6,10.7,58.9,10.0,59.4,8.0,89.4,6.9,61.6,5.6,59.1,6.4,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
19,20,COLOMBO BRITANICO,B,71,66.0,70.9,14.1,62.2,7.0,67.2,10.7,59.7,8.0,57.8,10.0,88.7,8.2,62.8,6.3,58.8,6.7,CALI,VALLE,MAÑANA,NO
20,21,GIMNASIO DE LOS CERROS,B,55,65.8,74.3,14.8,60.8,8.4,67.9,11.5,59.2,8.9,61.3,10.6,84.2,11.2,59.9,6.1,58.5,7.4,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
21,22,JOSE MAX LEON,B,55,65.6,70.2,10.0,61.6,6.7,68.5,9.1,61.2,7.5,62.2,11.0,80.2,10.0,61.6,5.9,59.5,5.8,COTA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
22,23,ITALIANO LEONARDO DA VINCI,B,53,65.6,69.9,12.7,59.2,7.7,67.2,12.7,59.2,9.2,62.5,8.9,83.6,9.7,63.4,8.1,59.8,5.4,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
23,24,GRAN BRETAÑA,B,10,65.6,69.0,7.6,56.9,6.9,64.2,10.2,61.5,13.4,59.7,11.3,88.1,5.7,65.1,8.7,59.9,9.0,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
24,25,LOS ANGELES,A,27,65.5,79.6,11.8,62.5,7.2,67.4,11.0,63.6,8.8,53.7,5.8,77.5,10.7,60.1,4.8,60.0,8.2,TUNJA,BOYACA,COMPLETA U ORDINARIA,NO
25,26,FREINET,B,33,65.5,67.6,12.0,62.5,7.6,69.7,10.1,58.6,7.2,61.0,13.5,81.9,11.3,64.4,8.1,58.7,7.2,CALI,VALLE,COMPLETA U ORDINARIA,NO
