codinst,nombre,cod_municipio,municipio,departamento,calendario,naturaleza,jornada,matematica,quimica,fisica,biologia,filosofia,ingles,lenguaje,sociales,de_matematica,de_quimica,de_fisica,de_biologia,de_filosofia,de_ingles,de_lenguaje,de_sociales,evaluados,periodo
000059,CENTRO FORMATIVO DE ANTIOQUIA CEFA,05001,MEDELLIN,ANTIOQUIA,F,OFICIAL,MAÑANA,46.82,46.79,46.17,47.30,44.23,46.85,51.49,47.40,9.71,7.92,9.39,6.55,8.83,9.47,6.88,7.37,"1,097",20132
000075,COLEGIO SANTOS ANGELES CUSTODIOS,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,42.28,45.23,42.83,43.91,41.43,44.40,48.72,43.15,8.26,5.81,9.05,6.37,8.47,6.46,6.64,6.73,47,20132
000083,COLEGIO BARBARA MICARELLI,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,50.89,50.96,47.39,48.89,45.93,51.68,51.86,47.68,9.71,7.98,10.30,7.18,12.94,11.62,7.37,8.27,28,20132
000091,COLEGIO BETHLEMITAS,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,59.44,57.58,50.30,54.87,52.94,71.09,56.48,53.98,9.96,8.86,9.17,7.86,9.97,13.77,7.06,9.24,86,20132
000125,COLEGIO CALASANZ FEMENINO,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,46.71,47.82,43.59,45.49,43.34,55.51,49.03,47.15,11.00,9.27,12.80,9.21,10.21,12.76,9.59,9.91,97,20132
000141,COLEGIO CALASANZ,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,64.66,57.32,56.85,54.78,50.15,68.61,57.02,54.86,10.96,9.78,11.85,7.42,10.58,14.01,7.10,8.43,131,20132
000174,COLEGIO CORAZONISTA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,66.95,61.75,64.36,59.91,53.43,76.47,57.68,58.17,10.06,9.11,10.62,7.22,10.48,12.63,5.99,7.78,120,20132
000182,COLEGIO CRISTOBAL COLON (THE COLUMBUS SCHOOL),05266,ENVIGADO,ANTIOQUIA,B,NO OFICIAL,COMPLETA U ORDINARIA,64.84,52.17,53.69,53.59,52.14,88.56,59.67,52.97,15.68,10.64,9.38,9.32,9.47,7.89,10.17,7.17,90,20131
000190,COLEGIO DE LA COMPAÑIA DE MARIA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,71.31,68.39,66.14,61.19,62.01,78.28,60.42,60.35,10.47,10.69,12.93,8.20,10.17,12.21,6.72,8.33,74,20132
000208,COLEGIO DE LA PRESENTACION MEDELLIN,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,50.02,50.88,49.82,51.05,47.47,61.04,54.52,51.33,12.40,8.83,9.99,7.73,9.65,16.13,7.82,8.90,83,20132
000216,COLEGIO DE MARIA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,46.65,48.20,48.10,47.50,47.10,46.50,53.15,50.80,10.51,6.79,11.13,8.74,6.01,9.28,7.15,6.25,20,20132
000232,COLEGIO EUCARISTICO DE LA MILAGROSA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,46.54,45.94,45.17,47.31,42.20,48.49,52.03,47.09,8.82,8.45,9.10,6.82,8.64,9.11,6.32,5.15,35,20132
000240,INSTITUTO FERRINI,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,48.84,46.34,44.12,47.14,44.68,47.96,51.36,47.16,9.51,7.26,11.76,6.38,8.74,10.05,7.09,7.26,50,20132
