1,COLEGIO LA QUINTA DEL PUENTE,Floridablanca,Santander,NO,1,C,B,31.00,70.08,90.67,67.48,73.46,63.90,52.03,85.06,63.32,64.68,17.35,10.56,10.36,6.53,6.13,7.37,5.82,8.29,4.00
2,COLEGIO BILINGUE DIANA OESE,Cali,Valle,NO,1,C,B,11.00,68.98,96.59,62.47,72.30,65.24,52.91,84.45,58.96,58.91,16.34,8.70,16.14,12.54,6.93,5.07,5.77,7.04,3.00
3,GIMNASIO COLOMBO BRITANICO,Bogotá D.C.,Bogotá,NO,2,C,A,73.00,67.95,69.97,64.85,65.51,63.22,62.15,76.89,74.29,66.71,11.25,9.83,9.57,7.12,11.15,7.81,9.17,9.34,4.00
4,COLEGIO SANTA FRANCISCA ROMANA,Bogotá D.C.,Bogotá,NO,1,C,B,57.00,66.87,84.00,65.50,59.77,61.10,52.79,87.68,61.91,62.22,13.88,8.82,7.39,5.58,5.60,5.89,6.26,4.94,4.00
5,COLEGIO SAN JORGE DE INGLATERRA,Bogotá D.C.,Bogotá,NO,1,C,B,58.00,66.66,78.28,63.52,61.18,63.10,53.23,85.89,63.47,64.57,12.95,6.90,8.34,7.17,6.08,7.49,6.59,5.43,4.00
6,COLEGIO LOS NOGALES,Bogotá D.C.,Bogotá,NO,1,C,B,56.00,65.82,78.70,63.32,59.12,63.50,51.57,87.97,62.56,59.78,13.11,6.97,7.83,6.52,6.08,6.29,6.06,6.53,4.00
7,COLEGIO CORAZONISTA,Bogotá D.C.,Bogotá,NO,2,C,A,110.00,65.28,72.12,62.48,64.13,62.26,62.61,70.34,64.19,64.11,10.76,7.57,8.98,7.60,11.60,9.47,8.28,8.41,4.00
8,COLEGIO BILINGUE INTERNACIONAL DEL QUINDIO LTDA,Armenia,Quindío,NO,2,C,A,1.00,65.25,86.00,58.00,63.00,58.00,59.00,80.00,58.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
9,GIMNASIO ALESSANDRO VOLTA,Bogotá D.C.,Bogotá,NO,1,C,B,10.00,65.15,81.19,60.57,58.59,59.97,52.70,80.19,64.11,63.89,17.41,8.30,7.92,6.54,7.18,11.32,6.55,5.29,
10,GLENN DOMAN ESCUELA PRECOZ,Floridablanca,Santander,NO,2,C,A,3.00,65.04,77.33,61.00,69.67,64.33,58.33,63.33,65.33,61.00,20.65,17.78,21.94,8.08,18.48,6.43,10.41,14.80,
11,FUNDACION EDUCATIVA INSTITUTO EXPERIMENTAL DEL ATLANTICO JOSE CELESTINO MUTIS,Barranquilla,Atlántico,NO,2,C,A,11.00,64.96,67.91,60.91,60.45,60.73,57.64,76.36,69.00,66.64,11.53,10.34,7.47,7.86,13.63,11.91,8.99,9.60,3.00
12,GIMNASIO VERMONT,Bogotá D.C.,Bogotá,NO,1,C,B,84.00,64.76,75.11,60.64,57.47,61.57,53.93,85.38,62.67,61.33,12.55,6.78,7.69,8.09,5.63,6.63,6.00,6.98,4.00
13,COLEGIO CAMPOALEGRE,Sopo,Cundinamarca,NO,1,C,B,23.00,64.72,74.31,62.57,58.85,60.60,50.33,86.74,63.04,61.29,9.87,6.81,8.19,9.95,6.59,6.62,6.74,4.88,4.00
14,COLEGIO SAN CARLOS,Bogotá D.C.,Bogotá,NO,1,C,B,98.00,64.45,76.89,60.49,58.69,60.57,51.87,85.35,60.26,61.49,11.55,7.27,7.62,6.01,5.22,7.33,5.64,6.03,4.00
15,COLEGIO DWIGTH DAVID EISENHOWER,Cajica,Cundinamarca,NO,1,C,B,1.00,64.44,76.10,70.20,48.85,56.51,57.15,87.56,57.31,61.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00
16,COLEGIO ANGLO AMERICANO,Bogotá D.C.,Bogotá,NO,2,C,A,138.00,64.35,69.26,61.72,63.12,63.12,56.03,73.30,64.77,63.50,10.56,8.78,8.72,8.84,8.66,8.63,8.26,9.01,4.00
17,CORPORACION COLEGIO INTERNACIONAL ALTAMIRA,Barranquilla,Atlántico,NO,1,Mñ,B,42.00,64.27,83.53,57.35,60.16,57.29,50.78,81.61,59.64,63.83,12.96,7.18,6.50,7.03,4.26,6.59,4.52,7.26,4.00
18,COLEGIO REAL (ROYAL SCHOOL),Barranquilla,Atlántico,NO,1,C,B,27.00,64.16,72.61,60.03,57.71,62.87,54.19,84.12,61.10,60.64,13.01,7.42,6.18,6.43,6.69,5.72,5.04,5.75,4.00
19,ASPAEN GIMNASIO CANTILLANA,Piedecuesta,Santander,NO,2,C,A,35.00,64.14,68.20,62.49,64.49,61.43,56.06,73.49,63.26,63.69,8.00,9.50,9.61,9.30,8.44,6.86,7.80,9.57,4.00
20,LICEO CAMPO DAVID,Bogotá D.C.,Bogotá,NO,2,C,A,18.00,63.92,66.00,66.17,64.67,64.67,59.78,61.11,63.61,65.33,9.05,8.88,10.35,12.51,11.43,7.68,10.55,8.73,3.00
21,COLEGIO EL ROSARIO,Barrancabermeja,Santander,NO,2,Mñ,A,64.00,63.87,69.83,63.25,64.78,64.53,58.05,64.11,61.88,64.55,13.57,10.79,13.18,9.37,11.54,11.23,7.71,10.23,4.00
22,COLEGIO ABRAHAM LINCOLN,Bogotá D.C.,Bogotá,NO,1,C,B,65.00,63.78,78.10,57.72,59.11,58.34,52.06,83.54,60.61,60.76,16.52,7.03,10.98,6.68,7.22,7.81,6.20,8.21,4.00
23,COLEGIO BILINGUE HACIENDA LOS ALCAPARROS,La Calera,Cundinamarca,NO,1,C,B,46.00,63.73,75.36,59.25,57.23,59.65,52.30,85.05,61.80,59.19,18.52,8.37,7.63,7.71,6.10,8.05,6.32,6.49,4.00
