"Municipio","Departamento","Matemática","Lenguaje","Promedio","Evaluados"
"LA UNION","NARIÑO",58.54,48.88,0.9,247
"SAN JOSE DE MIRANDA","SANTANDER",53.83,51.52,0.9,23
"COLON (GENOVA)","NARIÑO",55.72,47.93,0.81,85
"IZA","BOYACÁ",52.25,49.75,0.8,12
"ENTRERRIOS","ANTIOQUIA",49.41,50.63,0.77,76
"CERINZA","BOYACÁ",48.97,50.69,0.76,59
"SANTA MARIA","BOYACÁ",47.31,51.59,0.76,32
"SAN EDUARDO","BOYACÁ",48.25,51,0.76,20
"BUCARAMANGA","SANTANDER",49.86,50.02,0.76,4838
"CONCEPCION","SANTANDER",50.08,49.65,0.75,37
"PAIPA","BOYACÁ",48.84,50.08,0.74,364
"CHARALA","SANTANDER",49.08,49.81,0.73,181
"MALAGA","SANTANDER",49.72,49.4,0.73,381
"DUITAMA","BOYACÁ",49.57,49.48,0.73,1556
"TUNJA","BOYACÁ",48.77,49.9,0.73,1713
"CAMPOHERMOSO","BOYACÁ",48.14,50.24,0.73,29
"LA CEJA","ANTIOQUIA",48.19,49.94,0.72,495
"ARCABUCO","BOYACÁ",50.33,48.66,0.72,64
"SOGAMOSO","BOYACÁ",48.69,49.59,0.72,1216
"LA CRUZ","NARIÑO",53.15,46.68,0.71,246
"PAZ DE RIO","BOYACÁ",50.47,48.23,0.71,53
"PAEZ","BOYACÁ",45.81,50.75,0.7,32
"SAN GIL","SANTANDER",48.5,48.93,0.69,649
"PUERRES","NARIÑO",48.79,48.74,0.69,91
"BARICHARA","SANTANDER",48.28,49.02,0.69,95
"SABANETA","ANTIOQUIA",46.33,50.11,0.69,514
"TINJACA","BOYACÁ",46.91,49.76,0.69,34
"HISPANIA","ANTIOQUIA",45.84,50.36,0.68,25
"CAROLINA","ANTIOQUIA",46.67,49.87,0.68,30
"CHIA","CUNDINAMARCA",47.48,49.36,0.68,866
"IPIALES","NARIÑO",47.85,49.07,0.68,1150
"ENVIGADO","ANTIOQUIA",46.64,49.67,0.68,1425
"CALDAS","BOYACÁ",50.61,47.31,0.68,67
"ENCISO","SANTANDER",52.02,46.45,0.67,53
"PAICOL","HUILA",49.27,48.05,0.67,44
"TUQUERRES","NARIÑO",48.53,48.46,0.67,393
"FLORIDABLANCA","SANTANDER",47.44,49.09,0.67,1966
"FIRAVITOBA","BOYACÁ",47.4,49.04,0.67,71
"OCAÑA","NORTE SANTANDER",48.34,48.43,0.67,1009
"COPACABANA","ANTIOQUIA",46.31,49.55,0.67,787
"CHINACOTA","NORTE SANTANDER",47.1,49.08,0.67,187
"JARDIN","ANTIOQUIA",45.24,50.16,0.66,124
"GUARNE","ANTIOQUIA",46.39,49.46,0.66,393
"BUENAVISTA","BOYACÁ",48.15,48.41,0.66,61
