"Municipio","Departamento","Lenguaje","Evaluados"
"SANTA MARIA","BOYACÁ",51.59,32
"SAN JOSE DE MIRANDA","SANTANDER",51.52,23
"SAN EDUARDO","BOYACÁ",51,20
"PAEZ","BOYACÁ",50.75,32
"CERINZA","BOYACÁ",50.69,59
"ENTRERRIOS","ANTIOQUIA",50.63,76
"HISPANIA","ANTIOQUIA",50.36,25
"CAMPOHERMOSO","BOYACÁ",50.24,29
"JARDIN","ANTIOQUIA",50.16,124
"SABANETA","ANTIOQUIA",50.11,514
"PAIPA","BOYACÁ",50.08,364
"BUCARAMANGA","SANTANDER",50.02,4838
"LA ARGENTINA","HUILA",49.99,127
"LA CEJA","ANTIOQUIA",49.94,495
"TUNJA","BOYACÁ",49.9,1713
"CAROLINA","ANTIOQUIA",49.87,30
"CHARALA","SANTANDER",49.81,181
"TINJACA","BOYACÁ",49.76,34
"IZA","BOYACÁ",49.75,12
"ENVIGADO","ANTIOQUIA",49.67,1425
"CONCEPCION","SANTANDER",49.65,37
"DON MATIAS","ANTIOQUIA",49.61,104
"SOGAMOSO","BOYACÁ",49.59,1216
"COPACABANA","ANTIOQUIA",49.55,787
"DUITAMA","BOYACÁ",49.48,1556
"LA MESA","CUNDINAMARCA",49.48,255
"GUARNE","ANTIOQUIA",49.46,393
"MALAGA","SANTANDER",49.4,381
"CHIA","CUNDINAMARCA",49.36,866
"FUQUENE","CUNDINAMARCA",49.32,65
"CARMEN DE VIBORAL","ANTIOQUIA",49.24,527
"LA ESTRELLA","ANTIOQUIA",49.21,471
"FLORIDABLANCA","SANTANDER",49.09,1966
"CHINACOTA","NORTE SANTANDER",49.08,187
"IPIALES","NARIÑO",49.07,1150
"MARINILLA","ANTIOQUIA",49.05,548
"CRAVO NORTE","ARAUCA",49.04,28
"FIRAVITOBA","BOYACÁ",49.04,71
"BARICHARA","SANTANDER",49.02,95
"BERBEO","BOYACÁ",48.95,20
"SAN GIL","SANTANDER",48.93,649
"CARCASI","SANTANDER",48.9,30
"BOLIVAR","SANTANDER",48.88,88
"LA UNION","NARIÑO",48.88,247
