"Municipio","Departamento","Matemática","Evaluados"
"LA UNION","NARIÑO",58.54,247
"COLON (GENOVA)","NARIÑO",55.72,85
"SAN JOSE DE MIRANDA","SANTANDER",53.83,23
"LA CRUZ","NARIÑO",53.15,246
"IZA","BOYACÁ",52.25,12
"ENCISO","SANTANDER",52.02,53
"SURATA","SANTANDER",51.22,36
"CALDAS","BOYACÁ",50.61,67
"PAZ DE RIO","BOYACÁ",50.47,53
"ARCABUCO","BOYACÁ",50.33,64
"CONCEPCION","SANTANDER",50.08,37
"BUCARAMANGA","SANTANDER",49.86,4838
"MALAGA","SANTANDER",49.72,381
"DUITAMA","BOYACÁ",49.57,1556
"SANDONA","NARIÑO",49.56,263
"ENTRERRIOS","ANTIOQUIA",49.41,76
"PAICOL","HUILA",49.27,44
"TIBANA","BOYACÁ",49.12,60
"CHARALA","SANTANDER",49.08,181
"CERINZA","BOYACÁ",48.97,59
"PAIPA","BOYACÁ",48.84,364
"PUERRES","NARIÑO",48.79,91
"TUNJA","BOYACÁ",48.77,1713
"SOGAMOSO","BOYACÁ",48.69,1216
"TUQUERRES","NARIÑO",48.53,393
"SAN GIL","SANTANDER",48.5,649
"PISVA","BOYACÁ",48.38,8
"OCAÑA","NORTE SANTANDER",48.34,1009
"BARICHARA","SANTANDER",48.28,95
"TURMEQUE","BOYACÁ",48.28,140
"SOATA","BOYACÁ",48.26,143
"AGUADA","SANTANDER",48.25,20
"SAN EDUARDO","BOYACÁ",48.25,20
"TAMINANGO","NARIÑO",48.21,301
"LA CEJA","ANTIOQUIA",48.19,495
"BUENAVISTA","BOYACÁ",48.15,61
"CAMPOHERMOSO","BOYACÁ",48.14,29
"VILLA DE LEYVA","BOYACÁ",48.07,138
"GARAGOA","BOYACÁ",48.01,233
"EL GUACAMAYO","SANTANDER",47.96,23
"LEBRIJA","SANTANDER",47.96,323
"SUTAMARCHAN","BOYACÁ",47.92,59
"IPIALES","NARIÑO",47.85,1150
"EL TAMBO","NARIÑO",47.75,152
"CONTRATACION","SANTANDER",47.72,90
"BELEN","NARIÑO",47.51,104
"CHIA","CUNDINAMARCA",47.48,866
"TUTASA","BOYACÁ",47.47,34
"FLORIDABLANCA","SANTANDER",47.44,1966
"GUAPOTA","SANTANDER",47.43,28
"GUAYATA","BOYACÁ",47.41,37
"FIRAVITOBA","BOYACÁ",47.4,71
"VILLANUEVA","SANTANDER",47.33,110
"SANTA MARIA","BOYACÁ",47.31,32
"VELEZ","SANTANDER",47.23,257
"COLOMBIA","HUILA",47.13,47
"CHINACOTA","NORTE SANTANDER",47.1,187
"PALERMO","HUILA",47.09,231
"VETAS","SANTANDER",47.06,18
"TINJACA","BOYACÁ",46.91,34
"PUPIALES","NARIÑO",46.88,223
"BERBEO","BOYACÁ",46.85,20
"SOCORRO","SANTANDER",46.85,378
"SIMIJACA","CUNDINAMARCA",46.83,143
"CONSACA","NARIÑO",46.82,126
"MUTISCUA","NORTE SANTANDER",46.74,34
"LA SALINA","CASANARE",46.73,11
"MIRAFLORES","BOYACÁ",46.7,103
"SAN BERNARDO","NARIÑO",46.7,109
"TIBASOSA","BOYACÁ",46.69,191
"CARMEN DE VIBORAL","ANTIOQUIA",46.68,527
"CAROLINA","ANTIOQUIA",46.67,30
"PUENTE NACIONAL","SANTANDER",46.67,344
"ENVIGADO","ANTIOQUIA",46.64,1425
"ANCUYA","NARIÑO",46.62,101
